ID,SMILES,standard_value,pIC50
CHEMBL4441181,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N[C@H](C(=O)O)[C@@H](C)OC(C)(C)C)c3ccccc23)cc1,1300.0,5.886056647693163
CHEMBL4454849,COc1ccc(S(=O)(=O)Nc2ccc(N[C@@H](COC(C)(C)C)C(=O)O)c3ccccc23)cc1,33280.0,4.477816682381314
CHEMBL4590033,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N[C@@H](COC(C)(C)C)C(=O)O)c3ccccc23)cc1,1130.0,5.94692155651658
CHEMBL4466277,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N[C@H](C(=O)O)C(C)(C)C)c3ccccc23)cc1,11010.0,4.9582126810282485
CHEMBL4535811,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N[C@@H](CCS(C)(=O)=O)C(=O)O)c3ccccc23)cc1,1060.0,5.97469413473523
CHEMBL4564764,COc1ccc(S(=O)(=O)Nc2ccc(N[C@@H](CCSC)C(=O)O)c3ccccc23)cc1,1590.0,5.798602875679549
CHEMBL4457575,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N[C@@H](CCSC)C(=O)O)c3ccccc23)cc1,1320.0,5.8794260687941495
CHEMBL4573058,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N[C@@H](CC(C)C)C(=O)O)c3ccccc23)cc1,33900.0,4.4698003017969175
CHEMBL4529979,CC[C@H](C)[C@H](Nc1ccc(NS(=O)(=O)c2ccc(OC)cc2)c2ccccc12)C(=O)O,27740.0,4.556893543262734
CHEMBL4445846,CC[C@H](C)[C@H](Nc1ccc(N(CC(=O)O)S(=O)(=O)c2ccc(OC)cc2)c2ccccc12)C(=O)O,1490.0,5.826813731587726
CHEMBL4527377,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N[C@H](C(=O)O)C(C)C)c3ccccc23)cc1,4280.0,5.368556230986828
CHEMBL4576001,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N[C@@H](C)C(=O)O)c3ccccc23)cc1,3290.0,5.482804102050025
CHEMBL3235901,CC(C)c1ccc(S(=O)(=O)Nc2cc(Sc3nc[nH]n3)c(O)c3ccccc23)cc1,100000.0,4.0
CHEMBL4440989,CCCCC1CCCN1C(=O)[C@@H]1CCC[C@H](c2cccc(-n3ncc(C(=O)O)c3C3CC3)c2)C1,63.0,7.200659450546418
CHEMBL3819587,COc1cc([C@@H](CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)cc2nnn(C)c12,8.0,8.096910013008056
CHEMBL4588168,Cn1ccc(C(CC(=O)O)c2ccc(Cl)cc2)cc1=O,260000.0,3.585026652029182
CHEMBL4572418,Cn1nnc2cc([C@H](CC(=O)O)c3ccc(Cl)cc3)ccc21,170000.0,3.769551078621726
